name,productId,price,brand,color,image,category
oppo 1,111,1000,oppo,green,opg.jpg,mobile
apple,112,2000,apple,white,applewhite.jpg,mobile
samsung,113,1500,samsung,black,sblack.jpg,mobile
realme,114,1600,realme,white,opwh.jpg,mobile
redmi,115,1400,redmi,black,viblack.jpg,mobile
vivo,116,1300,vivo,white,viwhite.jpg,mobile
iq,117,1200,iq,white,swhite.jpg,mobile
one plus,118,1700,one plus,green,vigreen.jpg,mobile
lenovo,119,1500,lenovo,black,viwhite.jpg,mobile
oppo2,120,1000,oppo,white,opwh.jpg,mobile
oppo3,121,2900,oppo,green,opg.jpg,mobile
oppo4,122,4550,oppo,white,opwh.jpg,mobile
oppo5,123,4080,oppo,green,opg.jpg,mobile
0pp0 6,124,5060,oppo,white,opwh.jpg,mobile
vivo-1,125,6800,vivo,black,viblack.jpg,mobile
vivo-2,126,7800,vivo,green,vigreen.jpg,mobile
vivo-3,127,7600,vivo,black,viblack.jpg,mobile
vivo-4,128,6800,vivo,white,viwhite.jpg,mobile
vivo-5,129,8070,vivo,green,vigreen.jpg,mobile
vivo-6,130,9070,vivo,green,vigreen.jpg,mobile
vivo-7,131,8700,vivo,black,viblack.jpg,mobile
lenovo-1,132,1600,lenovo,white,viwhite.jpg,mobile
lenovo-2,133,1570,lenovo,black,sblack.jpg,mobile
lenovo-3,135,1570,lenovo,white,swhite.jpg,mobile
lenovo-4,136,1590,lenovo,black,sblack.jpg,mobile
lenovo-5,137,3400,lenovo,white,swhite.jpg,mobile
lenovo-6,138,4500,lenovo,black,sblack.jpg,mobile
lenovo-7,139,1600,lenovo,white,swhite.jpg,mobile
apple-1,140,20690,apple,black,appleblack.jpg,mobile
apple-2,141,55090,apple,white,applewhite.jpg,mobile
apple-3,142,62090,apple,red,applered.jpg,mobile
apple-4,143,76690,apple,green,appleblack.jpg,mobile
apple-5,144,66090,apple,black,appleblack.jpg,mobile
apple-6,145,20907,apple,white,applewhite.jpg,mobile
apple-7,146,26690,apple,red,applered.jpg,mobile
apple-8,147,26690,apple,green,appleblack.jpg,mobile
samsung-1,148,15300,samsung,black,sblack.jpg,mobile
samsung-2,149,15040,samsung,white,swhite.jpg,mobile
samsung-3,150,66500,samsung,black,sblack.jpg,mobile
samsung-4,151,44500,samsung,white,swhite.jpg,mobile
samsung-5,152,55500,samsung,black,sblack.jpg,mobile
samsung-6,153,15070,samsung,white,swhite.jpg,mobile
samsung-7,154,15600,samsung,black,sblack.jpg,mobile
samsung-8,155,15020,samsung,white,swhite.jpg,mobile
samsung-9,156,12233,samsung,black,sblack.jpg,mobile
onida-1,157,45000,onida,white,onwh.jpg,tv
onida-2,158,48000,onida,black,onbl.jpg,tv
onida-3,159,65000,onida,white,onwh.jpg,tv
onida-4,160,67000,onida,black,onbl.jpg,tv
onida-5,162,25000,onida,white,onwh.jpg,tv
lg-1,163,142999,lg,white,lgwh.jpg,tv
lg-2,164,123999,lg,green,lgbl.jpg,tv
lg-3,165,154999,lg,white,lgwh.jpg,tv
lg-4,166,143999,lg,green,lgbl.jpg,tv
lg-5,167,113999,lg,white,lgwh.jpg,tv
